Date,State Abbreviation,State Name,Fully Vaccinated Population,Percentage of Population
4/20/2022,AK,Alaska,"453,836",62
4/19/2022,AK,Alaska,"453,583",62
4/18/2022,AK,Alaska,"453,436",62
4/17/2022,AK,Alaska,"453,427",62
4/16/2022,AK,Alaska,"453,410",62
4/15/2022,AK,Alaska,"453,291",62
4/14/2022,AK,Alaska,"453,043",61.9
4/13/2022,AK,Alaska,"453,030",61.9
4/12/2022,AK,Alaska,"452,936",61.9
4/11/2022,AK,Alaska,"452,903",61.9
4/10/2022,AK,Alaska,"452,574",61.9
4/9/2022,AK,Alaska,"452,551",61.9
4/8/2022,AK,Alaska,"452,485",61.9
4/7/2022,AK,Alaska,"452,443",61.8
4/6/2022,AK,Alaska,"452,244",61.8
4/5/2022,AK,Alaska,"452,217",61.8
4/4/2022,AK,Alaska,"452,045",61.8
4/3/2022,AK,Alaska,"452,036",61.8
4/2/2022,AK,Alaska,"452,017",61.8
4/1/2022,AK,Alaska,"451,464",61.7
3/31/2022,AK,Alaska,"451,313",61.7
3/30/2022,AK,Alaska,"451,128",61.7
3/29/2022,AK,Alaska,"451,111",61.7
3/28/2022,AK,Alaska,"451,088",61.7
3/27/2022,AK,Alaska,"450,766",61.6
3/26/2022,AK,Alaska,"450,683",61.6
3/25/2022,AK,Alaska,"450,649",61.6
3/24/2022,AK,Alaska,"450,551",61.6
3/23/2022,AK,Alaska,"450,454",61.6
3/22/2022,AK,Alaska,"450,047",61.5
3/21/2022,AK,Alaska,"450,029",61.5
3/20/2022,AK,Alaska,"449,818",61.5
3/19/2022,AK,Alaska,"449,792",61.5
3/18/2022,AK,Alaska,"449,438",61.4
3/17/2022,AK,Alaska,"449,380",61.4
3/16/2022,AK,Alaska,"449,359",61.4
3/15/2022,AK,Alaska,"449,359",61.4
3/14/2022,AK,Alaska,"449,156",61.4
3/13/2022,AK,Alaska,"449,155",61.4
3/12/2022,AK,Alaska,"449,142",61.4
3/11/2022,AK,Alaska,"449,023",61.4
3/10/2022,AK,Alaska,"448,898",61.4
3/9/2022,AK,Alaska,"448,686",61.3
3/8/2022,AK,Alaska,"448,558",61.3
3/7/2022,AK,Alaska,"447,129",61.1
3/6/2022,AK,Alaska,"446,826",61.1
3/5/2022,AK,Alaska,"446,818",61.1
3/4/2022,AK,Alaska,"446,744",61.1
3/3/2022,AK,Alaska,"446,380",61
3/2/2022,AK,Alaska,"446,374",61
3/1/2022,AK,Alaska,"446,122",61
2/28/2022,AK,Alaska,"446,095",61
2/27/2022,AK,Alaska,"446,088",61
2/26/2022,AK,Alaska,"445,584",60.9
2/25/2022,AK,Alaska,"445,545",60.9
2/24/2022,AK,Alaska,"445,530",60.9
2/23/2022,AK,Alaska,"445,199",60.9
2/22/2022,AK,Alaska,"445,185",60.9
2/21/2022,AK,Alaska,"444,769",60.8
2/20/2022,AK,Alaska,"444,767",60.8
2/19/2022,AK,Alaska,"444,763",60.8
2/18/2022,AK,Alaska,"444,604",60.8
2/17/2022,AK,Alaska,"444,386",60.7
